#Data tag : online , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
272760:4888,05/06/16 21:47:16,18,18,0.003,0.002
272761:4888,05/06/16 21:55:23,69,69,0.014,0.012
272762:4888,05/06/16 22:28:08,105,105,0.021,0.018
272774:4889,05/07/16 01:50:03,12,12,0.047,0.038
272775:4889,05/07/16 01:56:32,182,182,0.678,0.607
272776:4889,05/07/16 03:18:51,105,105,0.350,0.315
272782:4890,05/07/16 08:17:47,29,29,0.107,0.094
272783:4890,05/07/16 08:34:03,149,149,0.537,0.482
272784:4890,05/07/16 09:33:35,294,294,1.003,0.899
272785:4890,05/07/16 11:31:50,144,144,0.469,0.422
272786:4890,05/07/16 12:29:31,59,59,0.188,0.170
272798:4892,05/07/16 16:58:40,1710,1710,7.495,6.916
272811:4895,05/08/16 12:56:02,90,90,1.878,1.616
272812:4895,05/08/16 13:33:21,372,372,7.818,7.013
272814:4895,05/08/16 16:00:56,8,8,0.162,0.144
272815:4895,05/08/16 16:05:47,18,18,0.363,0.319
272816:4895,05/08/16 16:16:08,24,24,0.482,0.429
272818:4895,05/08/16 16:31:31,600,600,11.378,10.304
272827:4896,05/08/16 23:27:27,6,6,0.151,0.024
272828:4896,05/08/16 23:32:47,56,56,1.272,0.336
272930:4905,05/10/16 00:23:40,164,164,3.772,3.492
272936:4906,05/10/16 04:16:27,355,355,8.591,7.750
273013:4910,05/10/16 19:20:09,304,304,7.259,6.499
273017:4910,05/10/16 21:31:38,928,928,19.935,18.167
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/pb),totrecorded(/pb)
#9,24,5801,5801,73.972,66.067
#Check JSON:
#(run,ls) in json but not in results: []
